800	0	1.1025
800	0.08025	1.0625
800	0.14815	1.035
800	0.18519	1.02
800	0.28395	0.99
800	0.38889	0.955
800	0.49383	0.92
800	0.61728	0.885
800	0.69753	0.8625
800	0.82099	0.8325
800	0.90123	0.8075
800	0.98765	0.7825
800	1.25926	0.7125
800	1.37037	0.6825
800	1.47531	0.66
800	1.65432	0.6225
800	1.77778	0.6
800	1.87037	0.585
800	1.98765	0.56
800	2.17284	0.525
800	2.28395	0.5075
800	2.38272	0.49
800	2.47531	0.4775
800	2.64815	0.45
800	2.97531	0.405
700	0.00617	1.08
700	0.08025	1.04
700	0.1358	1.0025
700	0.18519	0.97
700	0.27778	0.9175
700	0.35802	0.8625
700	0.41358	0.83
700	0.5	0.785
700	0.60494	0.7275
700	0.7037	0.6875
700	0.80864	0.6375
700	0.90123	0.605
700	1	0.5575
700	1.14815	0.5
700	1.25309	0.4625
700	1.37654	0.4225
700	1.48148	0.3775
700	1.57407	0.36
700	1.7037	0.32
700	1.78395	0.2975
700	1.92593	0.2675
700	1.96296	0.2625
600	0.01235	1.0725
600	0.03086	1.015
600	0.0679	0.9625
600	0.12346	0.87
600	0.16049	0.805
600	0.20988	0.7175
600	0.28395	0.615
600	0.34568	0.545
600	0.40123	0.48
600	0.5	0.3725
600	0.60494	0.2825
600	0.73457	0.185
600	0.79012	0.1525
600	0.83951	0.1175
